plotid,quadrant,Cru_Mass,Cruc+sample,Sample_Mass,mass_Post_550C,Mass_Post_1050C,remainder,percent_total_organic_content,Post_550-post_1050,molecular_conversion,percent_carbonate_content
1mc,q4,16.2505,40.1027,23.8522,39.1871,39.1014,0.9156,3.839,0.0857,0.116552,0.489
1h,q1,15.8139,32.7059,16.892,30.7481,30.6568,1.9578,11.59,0.0913,0.124168,0.735
1h,q2,12.998,21.9904,8.9924,21.3244,21.2799,0.666,7.406,0.0445,0.06052,0.673
1h,q3,17.8001,31.7779,13.9778,29.0139,28.9539,2.764,19.774,0.06,0.0816,0.584
1h,q4,17.8435,35.4013,17.5578,33.944,33.8416,1.4573,8.3,0.1024,0.139264,0.793
1f,q1,18.4178,27.8253,9.4075,26.4671,26.4358,1.3582,14.437,0.0313,0.042568,0.452
1f,q2,12.4567,20.3934,7.9367,18.8391,18.8023,1.5543,19.584,0.0368,0.050048,0.631
1f,q3,12.4544,21.7605,9.3061,20.6095,20.5506,1.151,12.368,0.0589,0.080104,0.861
1f,q4,12.6204,22.6456,10.0252,22.2425,22.2129,0.4031,4.021,0.0296,0.040256,0.402
1i,q1,12.4231,21.3026,8.8795,20.7705,20.7068,0.5321,5.992,0.0637,0.086632,0.976
1i,q2,12.5291,20.9246,8.3955,20.2004,20.1399,0.7242,8.626,0.0605,0.08228,0.98
1i,q3,16.7997,29.697,12.8973,27.6217,27.5443,2.0753,16.091,0.0774,0.105264,0.816
1i,q4,15.5957,25.9561,10.3604,21.9567,21.8976,3.9994,38.603,0.0591,0.080376,0.776
1j,q1,12.4105,21.7517,9.3412,21.3003,21.2616,0.4514,4.832,0.0387,0.052632,0.563
1j,q2,12.3534,22.1156,9.7622,21.5249,21.4709,0.5907,6.051,0.054,0.07344,0.752
1j,q3,10.8855,20.8206,9.9351,20.2138,20.1743,0.6068,6.108,0.0395,0.05372,0.541
1j,q4,12.6204,22.6456,10.0252,22.2425,22.2129,0.4031,4.021,0.0296,0.040256,0.402
2e,q1,15.4165,24.075,8.6585,23.5654,23.5256,0.5096,5.886,0.0398,0.054128,0.625
2e,q2,12.6326,22.3381,9.7055,21.8126,21.7714,0.5255,5.414,0.0412,0.056032,0.577
2e,q3,17.8222,32.9006,15.0784,31.5612,31.504,1.3394,8.883,0.0572,0.077792,0.516
2e,q4,12.5257,21.2305,8.7048,20.6621,20.6371,0.5684,6.53,0.025,0.034,0.391
5a1,q1,12.5174,22.7368,10.2194,22.3951,22.3319,0.3417,3.344,0.0632,0.085952,0.841
5a1,q2,12.3807,22.0126,9.6319,21.5096,21.4528,0.503,5.222,0.0568,0.077248,0.802
5a1,q3,17.4698,27.6325,10.1627,27.2324,27.1417,0.4001,3.937,0.0907,0.123352,1.214
5a1,q4,13.0314,24.232,11.2006,23.7889,23.7223,0.4431,3.956,0.0666,0.090576,0.809
5a2,q1,17.635,27.8862,10.2512,27.1449,27.0793,0.7413,7.231,0.0656,0.089216,0.87
5a2,q2,12.2018,21.7119,9.5101,21.1664,21.1002,0.5455,5.736,0.0662,0.090032,0.947
5a2,q3,17.8997,29.3307,11.431,28.7391,28.6732,0.5916,5.175,0.0659,0.089624,0.784
5a2,q4,16.5647,25.5257,8.961,24.988,24.8799,0.5377,6,0.1081,0.147016,1.641
nc (non cop),Q1,16.5424,26.6191,10.0767,25.6224,25.5441,0.9967,9.891,0.0783,0.106488,1.057
nc,Q2,15.7901,26.2866,10.4965,25.4729,25.4067,0.8137,7.752,0.0662,0.090032,0.858
nc,Q3,16.91,26.3159,9.4059,25.6442,25.4819,0.6717,7.141,0.1623,0.220728,2.347
nc,Q4,16.0891,25.9926,9.9035,25.1799,25.1183,0.8127,8.206,0.0616,0.083776,0.846
