plot_id,tree_no,dbh,y_ifdead,below_dbh,above_dbh,notes
1gb,6,0.7,y,n,n,
1gb,7,0.6,y,n,n,
1gb,7,1.8,n,n,n,
1gb,7,4.3,n,n,n,
1gb,7,0.4,y,n,n,
1gb,7,2.1,n,n,n,
1gb,7,0.4,y,n,n,
1gb,7,0.6,y,n,n,
1gb,7,3.2,n,n,n,
1gb,7,4.6,n,n,n,
1gb,7,1.2,y,n,n,
1gb,8,4.4,n,n,n,
1gb,8,2.9,n,n,n,
1gb,8,1.7,y,n,n,
1gb,8,2.9,y,n,n,
1gb,8,1.1,n,n,n,
1gb,8,4,y,n,n,
1gb,8,2.1,y,n,n,
1gb,8,4.1,n,n,n,
1gb,8,4.7,n,n,n,
1gb,8,2.7,n,n,n,
1gb,8,1,n,n,n,
1gb,8,2.2,n,n,n,
1gb,9,3.1,n,n,n,
1gb,9,1,y,n,n,
1gb,9,1,n,n,n,
1gb,9,3.8,n,n,n,
1gb,9,2.8,n,n,n,
1gb,9,1.8,y,n,n,
1gb,9,2.9,n,n,n,
1gb,9,2,n,n,n,
1gb,9,2.1,n,n,n,
1gb,9,2.7,n,n,n,
1gb,9,1.3,n,n,n,
1gb,9,3.4,n,n,n,
1gb,9,3.2,n,n,n,
1gb,9,1.1,n,n,n,
1gb,9,0.6,n,n,n,
1gb,9,3.3,n,n,n,
1gb,9,4.2,n,n,n,
1gb,9,3.7,n,n,n,
1gb,9,4,n,n,n,
1gb,9,1,n,n,n,
1gb,9,3.7,n,n,n,
1gb,9,2.9,n,n,n,
1gb,9,0.7,y,n,n,
1gb,10,3.6,n,n,n,
1gb,10,2.5,n,n,n,
1gb,10,0.5,y,n,n,
1gb,10,0.3,y,n,n,
1gb,10,2,n,n,n,
1gb,10,2,n,n,n,
1gb,10,0.4,n,n,n,
1gb,10,0.4,n,n,n,
1gb,10,2.7,n,n,n,
1gb,10,0.7,y,n,n,
1gb,10,3,n,n,n,
1gb,10,0.3,n,n,n,
1gb,10,3.6,n,n,n,
1gb,10,2,n,n,n,
1gc,1,0.3,n,n,n,
1gc,1,1.2,n,n,n,
1gc,1,0.4,n,n,n,
1gc,1,0.3,n,n,n,
1gc,1,0.3,n,n,n,
1gc,1,0.2,n,n,n,
1gc,1,0.5,n,n,n,
1gc,1,0.4,n,n,n,
1gc,1,0.3,n,n,n,
1gc,2,0.4,y,n,n,
1gc,2,0.3,y,n,n,
1gc,2,0.5,n,n,n,
1gc,2,0.6,n,n,n,
1gc,2,0.4,y,n,n,
1gc,2,0.7,n,n,n,
1gc,2,1,n,n,n,
1gc,2,1.4,n,n,n,
1gc,3,0.5,y,n,n,2_livestems_below_dbh
1gc,3,0.2,y,n,n,
1gc,3,0.4,y,n,n,
1gc,3,0.4,y,n,n,
1gc,3,0.9,y,n,n,
1gc,3,0.7,y,n,n,
1gc,3,0.5,y,n,n,
1gc,4,0.1,y,n,n,1_livestem_below_dbh
1gc,5,0.6,y,n,n,
1gc,5,0.7,y,n,n,
1gc,5,0.4,y,n,n,
1gc,5,0.3,y,n,n,
1gc,5,1.4,y,n,n,
1gc,5,1.6,y,n,n,
1gc,5,2,n,n,n,
1gc,5,0.5,y,n,n,
1gc,5,0.6,y,n,n,
1gc,5,0.4,y,n,n,
1gc,5,1.3,y,n,n,
1gc,5,1.7,y,n,n,
1gc,6,0.6,n,n,n,
1gc,6,0.8,n,n,n,
1gc,6,0.9,n,n,n,
1gc,6,2.5,n,n,n,
1gc,6,3,n,n,n,
1gc,6,2.6,n,n,n,
1gc,6,2.8,n,n,n,
1gc,7,2.4,n,n,n,
1gc,7,1.4,n,n,n,
1gc,7,2.2,n,n,n,
1gc,7,1.3,n,n,n,
1gc,7,3.2,n,n,n,
1gc,7,2.4,n,n,n,
1gc,7,2.6,n,n,n,
1gc,7,0.7,n,n,n,
1gc,7,0.8,n,n,n,
1gc,7,2.5,n,n,n,
1gc,7,1.8,n,n,n,
1gc,8,1.4,n,n,n,
1gc,8,0.3,n,n,n,
1gc,8,0.2,n,n,n,
1gc,8,1.1,n,n,n,
1gc,8,0.9,n,n,n,
1gc,8,0.6,n,n,n,
1gc,8,0.5,n,n,n,
1gc,8,0.4,n,n,n,
1gc,8,0.4,n,n,n,
1gc,8,0.5,n,n,n,
1gc,8,0.5,n,n,n,
1gc,9,2.1,n,n,n,
1gc,9,3.1,n,n,n,
1gc,9,2.8,n,n,n,
